INSERT INTO credit1 (first,second,third,fourth,fifth,sixth,seventh,eighth,nineth,tenth,class) VALUES 
('beta','21to50',   'less',      'unacc',   'golden',      'true',   'true',   'less',    'false',  'golden',  'positive'),
('alpha', '>50',      'less',      'unacc',   'golden',      'true',   'true',   'medium', 'false',  'golden',  'positive'),
('alpha', '21to50',  'less',      'unacc',   'golden',      'true',   'false',  'less',    'false',  'golden',  'positive'),
('beta', '21to50',  'less',      'unacc',   'golden',      'true',   'true' ,  ' medium', 'true' ,  'golden',  'positive'),
('beta', '21to50',  'medium',   'unacc',   'golden',      'true',   'false',  'less',    'false',  'silver',  'positive'),
('beta', '21to50',  'less',      'unacc',   'golden',      'true',   'false',  'less',    'true' ,  'golden',  'positive'),
('beta', '21to50',  'less',      'unacc',   'golden',      'true',   'false',  'less',    'true' ,  'golden',  'positive'),
('alpha', '21to50',  'high',     'unacc',   'golden',      'true',   'false',  'less',    'false',  'golden',  'positive'),
('beta', '>50',      'less',      'acc',   'pink',        'true',   'false',  'less',    'false',  'golden',  'positive'),      
('beta', '21to50',  'less',      'acc',   'pink',        'true',   'false',  'less',    'true' ,  'golden',  'positive'),         
('beta', '21to50',  'less',      'unacc',   'golden',      'false',  'false',  'less',    'true' ,  'golden',  'positive'),
('beta', '21to50',  'less',      'unacc',   'golden',      'true',   'false',  'less',    'false',  'golden',  'positive'),
('alpha', '21to50',  'medium',   'unacc',   'golden',      'true',   'false',  'less',    'true' ,  'golden',  'positive'),
('beta', '21to50',  'medium',   'unacc',   'golden',      'false',  'false',  'less',    'false',  'golden',  'positive'),
('alpha', '21to50',  'medium',   'unacc',   'golden',      'true',   'true' ,  'medium', 'true' ,  'golden',  'positive'),
('beta', '21to50',  'less',      'acc',   'pink',        'true',   'true' ,  'high',   'true' ,  'golden',  'positive'),
('beta', '21to50',  'less',      'unacc',   'golden',      'true',   'true' ,  'less',    'true' ,  'golden',  'positive'),
('alpha', '21to50',  'medium',   'unacc',   'golden',      'true',   'true' ,  'high',   'false',  'golden',  'positive'),
('beta', '21to50',  'less',      'unacc',   'golden',      'true',   'false',  'less',    'true' ,  'golden',  'positive'),
('alpha', 'LTE20',     'medium',   'unacc',   'golden',      'true',   'true' ,  'medium', 'false',  'golden',  'positive'),
('beta', '21to50',  'high',     'unacc',   'golden',      'true',   'true' ,  'high',   'false',  'golden',  'positive'),
('beta', '21to50',  'less',      'unacc',   'golden',      'true',   'false',  'less',    'false',  'silver',  'positive'),
('alpha', '21to50',  'medium',   'unacc',   'golden',      'true',   'true' ,  'medium', 'true' ,  'golden',  'positive'),
('alpha', '21to50',  'high',     'unacc',   'golden',      'true',   'true' ,  'less',    'false',  'golden',  'positive'),
('alpha', '21to50',  'medium',   'unacc',   'golden',      'true',   'true' ,  'less',    'true' ,  'golden',  'positive'),      
('alpha', 'LTE20',     'less',      'unacc',   'golden',      'true',   'true' ,  'less',    'false',  'golden',  'positive'),
('alpha', '21to50',  'high',     'unacc',   'golden',      'true',   'true' ,  'high',   'true' ,  'golden',  'positive'),
('beta', '>50',      'high',     'unacc',   'golden',      'true',   'true' ,  'high',   'true' ,  'golden',  'positive'),
('beta', '>50',      'medium',   'unacc',   'golden',      'true',   'true' ,  'less',    'false',  'golden',  'positive'),              
('beta', '21to50',  'less',      'unacc',   'golden',      'true',   'true' ,  'medium', 'true' ,  'golden',  'positive'),
('beta', '21to50',  'high',     'unacc',   'golden',      'true',   'true' ,  'medium', 'true' ,  'golden',  'positive'),
('beta', '21to50',  'medium',   'unacc',   'golden',      'true',   'true' ,  'high',   'false',  'golden',  'positive'),
('beta', '21to50',  'medium',   'unacc',   'golden',      'true',   'true' ,  'high',   'true' ,  'golden',  'positive'),
('alpha', '21to50',  'medium',   'unacc',   'golden',      'true',   'false',  'less',    'true' ,  'golden',  'positive'),
('alpha', '21to50',  'high',     'unacc',   'golden',      'true',   'true' ,  'medium', 'true' ,  'golden',  'positive'),
('beta', '21to50',  'less',      'unacc',   'golden',      'true',   'true' ,  'high',   'true' ,  'golden',  'positive'),
('beta', '21to50',  'less',      'unacc',   'golden',      'true',   'true' ,  'high',   'true' ,  'golden',  'positive'),
('alpha', '21to50',  'high',     'unacc',   'golden',      'true',   'true' ,  'less',    'true' ,  'golden',  'positive'),
('beta', '21to50',  'less',      'acc',   'pink',        'true',   'true' ,  'less',    'false',  'golden',  'positive'),
('beta', '>50',      'medium',   'unacc',   'golden',      'true',   'true' ,  'high',   'true' ,  'golden',  'positive'),
('beta', '21to50',  'medium',   'unacc',   'golden',      'true',   'true' ,  'high',   'true' ,  'golden',  'positive'),
('beta', '21to50',  'high',     'unacc',   'golden',      'true',   'true' ,  'high',   'false',  'golden',  'positive'),
('beta', '21to50',  'less',      'unacc',   'golden',      'true',   'true' ,  'less',    'false',  'golden',  'positive'),
('beta', '21to50',  'high',     'unacc',   'golden',      'true',   'true' ,  'medium', 'true' ,  'golden',  'positive'),
('beta', '>50',      'high',     'acc',   'pink',        'true',   'true' ,  'high',   'false',  'golden',  'positive'),
('beta', '>50',      'medium',   'unacc',   'golden',      'true',   'true' ,  'high',   'true' ,  'golden',  'positive'),
('alpha', '21to50',  'less',      'acc',   'pink',        'true',   'true' ,  'high',   'true' ,  'golden',  'positive'),
('beta', '21to50',  'less',      'unacc',   'golden',      'true',   'true' ,  'less',    'false',  'golden',  'positive'),
('beta', '21to50',  'less',      'unacc',   'golden',      'false',  'false',  'less',    'false',  'golden',  'positive'),
('beta', '21to50',  'less',      'unacc',   'golden',      'false',  'false',  'less',    'false',  'golden',  'positive'),
('alpha', '21to50',  'less',      'unacc',   'golden',      'true',   'false',  'less',    'true' ,  'golden',  'positive'),
('beta', '21to50',  'less',      'unacc',   'golden',      'true',   'false',  'less',    'true' ,  'golden',  'positive'),
('beta', '21to50',  'less',      'unacc',   'golden',      'true',   'false',  'less',    'true' ,  'golden',  'positive'),
('beta', '21to50',  'less',      'unacc',   'golden',      'true',   'false',  'less',    'true' ,  'golden',  'positive'),
('beta', '21to50',  'less',      'unacc',   'golden',      'true',   'false',  'less',    'true' ,  'golden',  'positive'),
('beta', '21to50',  'high',     'acc',   'pink',        'true',   'false',  'less',    'true' ,  'golden',  'positive'),
('beta', '21to50',  'less',      'unacc',   'golden',      'true',   'false',  'less',    'false',  'golden',  'positive'),
('beta', '21to50',  'less',      'unacc',   'golden',      'true',   'false',  'less',    'true' ,  'golden',  'positive'),
('beta', '21to50',  'less',      'unacc',   'golden',      'false',  'false',  'less',    'true' ,  'silver',  'positive'),
('beta', '21to50',  'less',      'unacc',   'golden',      'true',   'true' ,  'high',   'false',  'golden',  'positive'),
('beta', '>50',      'high',     'unacc',   'golden',      'true',   'true' ,  'medium', 'true' ,  'golden',  'positive'),
('beta', '21to50',  'high',     'unacc',   'golden',      'true',   'true' ,  'high',   'false',  'golden',  'positive'),
('alpha', '21to50',  'less',      'acc',   'pink',        'true',   'true' ,  'less',    'true' ,  'golden',  'positive'),
('alpha', '21to50',  'less',      'unacc',   'golden',      'true',   'true' ,  'less',    'false',  'golden',  'positive'),
('beta', '21to50',  'less',      'unacc',   'golden',      'true',   'true' ,  'less',    'true' ,  'golden',  'positive'),
('beta', '21to50',  'less',      'unacc',   'golden',      'true',   'true' ,  'less',    'true' ,  'golden',  'positive'),
('alpha', '21to50',  'less',      'unacc',   'golden',      'true',   'true' ,  'high',   'false',  'golden',  'positive'),
('beta', '21to50',  'less',      'unacc',   'golden',      'true',   'true' ,  'less',    'false',  'golden',  'positive'),
('beta', 'LTE20',     'medium',   'unacc',   'golden',      'true',   'true' ,  'medium', 'false',  'golden',  'positive'),
('beta', '21to50',  'high',     'unacc',   'golden',      'true',   'true' ,  'less',    'true' ,  'golden',  'positive'),
('beta', '21to50',  'medium',   'unacc',   'golden',      'true',   'false',  'less',    'true' ,  'silver',  'negative'),
('beta', '21to50',  'less',      'unacc',   'golden',      'true',   'false',  'less',    'true' ,  'golden',  'negative'),
('alpha', '21to50',  'medium',   'unacc',   'golden',      'true',   'false',  'less',    'true' ,  'golden',  'negative'),
('beta', '21to50',  'less',      'unacc',   'golden',      'true',   'false',  'less',    'false',  'silver',  'negative'),
